"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Sep-2020","EQ","287.00","289.45","281.70","289.30","288.55","287.35","284.95","779.80","197.00",1956047,"557,382,482.15",29029
"08-Sep-2020","EQ","300.00","300.00","287.15","296.90","288.00","289.30","292.79","779.80","197.00",4788679,"1,402,059,196.20",60072
"07-Sep-2020","EQ","303.50","307.00","294.85","303.30","296.85","296.90","298.32","779.80","197.00",3307148,"986,596,585.65",33648
"04-Sep-2020","EQ","306.00","308.40","302.10","312.85","304.40","303.30","304.84","779.80","197.00",3028986,"923,346,593.55",47182
"03-Sep-2020","EQ","314.00","317.90","310.25","311.50","313.35","312.85","313.81","779.80","197.00",2733912,"857,930,531.60",30701
"02-Sep-2020","EQ","310.55","316.00","307.20","310.10","313.65","311.50","310.78","779.80","197.00",2372727,"737,389,395.55",25187
"01-Sep-2020","EQ","313.15","317.05","297.75","312.50","311.85","310.10","305.86","779.80","197.00",4335965,"1,326,218,615.50",58168
"31-Aug-2020","EQ","333.00","333.00","308.75","327.90","311.90","312.50","320.66","779.80","197.00",3365944,"1,079,309,226.20",38925
"28-Aug-2020","EQ","332.50","336.40","326.55","329.25","328.00","327.90","330.46","779.80","197.00",3256438,"1,076,111,026.90",38839
"27-Aug-2020","EQ","335.00","336.55","328.25","334.50","329.70","329.25","331.52","779.80","197.00",2475119,"820,551,602.30",32390
"26-Aug-2020","EQ","337.20","339.65","330.20","333.85","334.70","334.50","333.08","779.80","197.00",4591174,"1,529,240,242.75",45571
"25-Aug-2020","EQ","334.00","345.90","329.20","324.10","337.10","333.85","337.32","779.80","197.00",13594386,"4,585,684,385.65",121617
"24-Aug-2020","EQ","319.90","334.40","316.00","315.35","327.00","324.10","328.32","779.80","197.00",11679599,"3,834,599,000.10",110462
"21-Aug-2020","EQ","321.35","321.35","314.25","317.30","315.00","315.35","318.15","779.80","197.00",2838219,"902,979,761.70",36933
"20-Aug-2020","EQ","314.50","321.90","314.05","311.05","318.00","317.30","318.31","779.80","197.00",9029579,"2,874,217,339.30",89192
"19-Aug-2020","EQ","298.20","314.00","296.40","296.10","313.30","311.05","307.31","779.80","197.00",6391301,"1,964,117,651.05",65935
"18-Aug-2020","EQ","294.50","297.35","293.35","292.10","296.00","296.10","295.54","779.80","197.00",1435708,"424,308,196.05",18594
"17-Aug-2020","EQ","298.50","298.65","291.50","295.00","292.60","292.10","293.47","779.80","197.00",1305171,"383,023,227.40",18481
"14-Aug-2020","EQ","298.00","300.50","293.20","296.00","295.10","295.00","297.27","779.80","197.00",1093691,"325,121,687.35",14033
"13-Aug-2020","EQ","299.50","300.90","295.70","295.90","296.15","296.00","297.54","779.80","197.00",1026952,"305,560,619.50",14395
"12-Aug-2020","EQ","295.00","297.45","292.55","297.05","296.85","295.90","295.60","779.80","197.00",940734,"278,080,518.05",16255
"11-Aug-2020","EQ","302.20","302.60","295.80","301.15","297.20","297.05","298.06","779.80","197.00",1292967,"385,383,103.25",19979
"10-Aug-2020","EQ","303.30","305.00","299.10","300.85","301.15","301.15","301.37","779.80","197.00",1366678,"411,871,657.35",21141
"07-Aug-2020","EQ","297.05","304.50","296.15","296.15","302.25","300.85","300.93","779.80","197.00",1758219,"529,105,013.25",23977
"06-Aug-2020","EQ","298.00","298.95","294.40","296.95","296.55","296.15","296.28","779.80","197.00",1164675,"345,072,162.40",22169
"05-Aug-2020","EQ","297.90","300.75","295.50","296.70","297.80","296.95","297.36","779.80","197.00",912129,"271,227,029.55",12560
"04-Aug-2020","EQ","298.05","302.95","296.00","298.05","297.40","296.70","297.78","779.80","197.00",926366,"275,852,885.00",12828
"03-Aug-2020","EQ","301.00","301.75","293.25","305.70","297.85","298.05","297.49","779.80","197.00",1809465,"538,292,970.00",27311
"31-Jul-2020","EQ","311.25","311.25","303.65","310.05","306.60","305.70","306.05","779.80","197.00",1441401,"441,142,891.55",17080
"30-Jul-2020","EQ","315.00","315.00","307.75","312.40","309.20","310.05","311.67","779.80","197.00",1958399,"610,372,607.25",22013
"29-Jul-2020","EQ","300.85","314.80","299.65","299.65","311.80","312.40","309.16","779.80","197.00",3854859,"1,191,757,313.55",38181
"28-Jul-2020","EQ","298.20","302.50","298.20","298.30","299.00","299.65","300.08","779.80","197.00",1371819,"411,649,735.70",19415
"27-Jul-2020","EQ","301.00","305.20","297.10","301.55","298.20","298.30","300.40","779.80","197.00",1469377,"441,403,205.15",18704
"24-Jul-2020","EQ","306.00","310.35","300.75","307.25","301.25","301.55","304.82","779.80","197.00",1419318,"432,633,665.30",17388
"23-Jul-2020","EQ","304.00","308.90","301.75","303.80","307.45","307.25","307.31","779.80","197.00",1664957,"511,661,413.35",19270
"22-Jul-2020","EQ","302.00","306.50","301.50","301.55","303.30","303.80","304.38","779.80","197.00",1249672,"380,369,103.80",14684
"21-Jul-2020","EQ","309.50","309.50","300.85","306.30","302.45","301.55","304.41","779.80","197.00",1351562,"411,423,034.05",19976
"20-Jul-2020","EQ","303.00","307.10","300.70","299.90","306.80","306.30","304.39","779.80","197.00",2269740,"690,896,794.25",20565
"17-Jul-2020","EQ","298.50","303.25","298.20","298.45","299.80","299.90","300.47","779.80","197.00",1219753,"366,494,368.65",12598
"16-Jul-2020","EQ","295.00","299.95","289.25","296.15","298.00","298.45","295.88","779.80","197.00",2216406,"655,791,595.90",28140
"15-Jul-2020","EQ","306.70","307.80","295.10","305.65","296.25","296.15","301.60","779.80","197.00",1745100,"526,313,814.00",29897
"14-Jul-2020","EQ","298.00","307.00","295.00","298.35","306.25","305.65","301.45","779.80","197.00",2451207,"738,922,807.10",31604
"13-Jul-2020","EQ","301.70","303.50","297.60","299.60","298.40","298.35","299.58","779.80","197.00",1804452,"540,583,405.00",26217
"10-Jul-2020","EQ","307.00","307.00","299.00","307.10","300.00","299.60","302.25","779.80","197.00",2997165,"905,887,838.75",61267
"09-Jul-2020","EQ","313.00","316.00","306.20","312.50","307.50","307.10","310.07","779.80","197.00",3272247,"1,014,641,585.60",36566
"08-Jul-2020","EQ","319.95","319.95","311.25","311.70","312.90","312.50","316.06","779.80","197.00",4951635,"1,565,019,669.05",69618
"07-Jul-2020","EQ","312.25","321.00","309.55","309.90","313.15","311.70","314.90","779.80","197.00",4898897,"1,542,668,893.90",70459
"06-Jul-2020","EQ","312.00","313.65","308.80","308.50","309.50","309.90","311.02","779.80","197.00",986731,"306,897,796.05",16563
"03-Jul-2020","EQ","311.50","313.25","306.95","309.30","308.15","308.50","309.25","779.80","197.00",656749,"203,100,873.85",10866
"02-Jul-2020","EQ","309.45","312.50","308.00","308.35","310.20","309.30","309.71","779.80","197.00",833257,"258,066,476.15",12017
"01-Jul-2020","EQ","314.00","314.00","307.40","310.05","308.35","308.35","309.45","779.80","197.00",815746,"252,429,323.15",16355
"30-Jun-2020","EQ","314.20","315.50","309.00","312.05","311.45","310.05","311.51","779.80","197.00",486105,"151,426,122.80",6790
"29-Jun-2020","EQ","315.00","316.55","309.05","315.20","311.55","312.05","312.01","779.80","197.00",618194,"192,880,990.25",10579
"26-Jun-2020","EQ","319.50","322.90","314.15","317.30","314.15","315.20","318.73","779.80","197.00",1167005,"371,954,369.70",15406
"25-Jun-2020","EQ","312.95","318.20","309.90","313.25","318.10","317.30","315.33","779.80","197.00",1167321,"368,093,596.90",13789
"24-Jun-2020","EQ","315.90","319.20","311.95","311.80","313.80","313.25","316.22","779.80","197.00",1719377,"543,694,010.95",18526
"23-Jun-2020","EQ","313.00","315.95","311.10","310.75","312.25","311.80","313.67","779.80","197.00",1499339,"470,295,965.85",18639
"22-Jun-2020","EQ","308.95","315.95","306.10","314.25","310.50","310.75","312.20","779.80","197.00",1736753,"542,222,587.05",29290
"19-Jun-2020","EQ","317.00","317.05","312.00","314.20","314.95","314.25","314.42","779.80","197.00",1284180,"403,772,785.15",17791
"18-Jun-2020","EQ","315.00","319.50","313.50","313.50","314.90","314.20","316.50","779.80","197.00",1986228,"628,649,258.00",22555
"17-Jun-2020","EQ","305.00","315.90","304.40","305.60","313.50","313.50","312.60","779.80","197.00",1591833,"497,605,537.70",18438
"16-Jun-2020","EQ","314.00","314.80","301.40","307.05","306.00","305.60","307.75","779.80","197.00",1308544,"402,707,784.35",18507
"15-Jun-2020","EQ","313.95","314.80","306.20","311.75","307.35","307.05","309.70","779.80","197.00",949541,"294,072,794.75",14032
"12-Jun-2020","EQ","293.00","313.65","293.00","306.50","312.85","311.75","307.46","779.80","197.00",1981677,"609,286,820.75",27088
"11-Jun-2020","EQ","312.80","314.65","304.55","311.50","307.00","306.50","308.31","779.80","197.00",1839745,"567,216,402.15",25388
"10-Jun-2020","EQ","314.80","318.20","308.40","312.65","312.80","311.50","313.41","779.80","197.00",1399424,"438,588,077.80",15903
"09-Jun-2020","EQ","319.05","319.90","311.00","315.55","313.05","312.65","315.94","779.80","197.00",1099217,"347,285,671.90",13867
"08-Jun-2020","EQ","322.00","324.20","314.50","318.35","315.75","315.55","320.44","779.80","197.00",1786956,"572,619,929.20",24929
